Experiment,Model,Accuracy
0-shot,llama-2-70b,0.00
0-shot,llama-2-70b-chat,0.00
0-shot,gpt-43b,0.78
0-shot,gpt20b,0.00
0-shot,gpt-8b,0.00
1-shot,llama-2-70b,0.89
1-shot,llama-2-70b-chat,0.04
1-shot,gpt-43b,1.00
1-shot,gpt20b,0.63
1-shot,gpt-8b,0.04
2-shot,llama-2-70b,0.93
2-shot,llama-2-70b-chat,0.41
2-shot,gpt-43b,0.96
2-shot,gpt20b,0.67
2-shot,gpt-8b,0.59
3-shot,llama-2-70b,0.96
3-shot,llama-2-70b-chat,0.70
3-shot,gpt-43b,1.00
3-shot,gpt20b,0.78
3-shot,gpt-8b,0.63
LoRA,gpt-43b,0.85
LoRA,gpt-8b,0.70
